congress,chamber,icpsr,district_code,state_abbrev,party,bioname,ideal_point
79,House,1882,13.0,MO,D,"COCHRAN, John Joseph",-0.266
79,House,1928,3.0,MO,R,"COLE, William Clay",0.416
79,House,7487,12.0,MO,R,"PLOESER, Walter Christian",0.394
79,House,8284,2.0,MO,R,"SCHWABE, Max",0.495
79,House,8484,7.0,MO,R,"SHORT, Dewey Jackson",0.455
79,House,8569,5.0,MO,D,"SLAUGHTER, Roger Caldwell",-0.073
79,House,9071,11.0,MO,D,"SULLIVAN, John Berchmans",-0.393
79,House,10468,10.0,MO,D,"ZIMMERMAN, Orville",-0.232
79,House,2538,2.0,MT,R,"D'EWART, Wesley Abner",0.297
79,House,5967,1.0,MT,D,"MANSFIELD, Michael Joseph (Mike)",-0.439
79,House,7017,2.0,MT,D,"O'CONNOR, James Francis",-0.338
79,House,1218,2.0,NE,R,"BUFFETT, Howard Homan",0.686
79,House,2267,1.0,NE,R,"CURTIS, Carl Thomas",0.492
79,House,6474,4.0,NE,R,"MILLER, Arthur Lewis",0.389
79,House,8879,3.0,NE,R,"STEFAN, Karl",0.208
79,House,1239,1.0,NV,D,"BUNKER, Berkeley Lloyd",-0.309
79,House,39,2.0,NH,R,"ADAMS, Sherman",0.18
79,House,6437,1.0,NH,R,"MERROW, Chester Earl",0.06
79,House,291,3.0,NJ,R,"AUCHINCLOSS, James Coats",0.195
79,House,1476,8.0,NJ,R,"CANFIELD, Gordon",-0.002
79,House,1569,6.0,NJ,R,"CASE, Clifford Philip",-0.108
79,House,2827,5.0,NJ,R,"EATON, Charles Aubrey",0.264
79,House,4031,2.0,NJ,R,"HAND, Thomas Millet",0.205
79,House,4142,14.0,NJ,D,"HART, Edward Joseph",-0.314
79,House,4155,10.0,NJ,R,"HARTLEY, Fred Allan, Jr.",0.195
79,House,5109,12.0,NJ,R,"KEAN, Robert Winthrop",0.184
79,House,6070,4.0,NJ,R,"MATHEWS, Frank Asbury, Jr.",0.215
79,House,6972,13.0,NJ,D,"NORTON, Mary Teresa",-0.5
79,House,7578,4.0,NJ,R,"POWERS, David Lane",0.174
79,House,9090,11.0,NJ,R,"SUNDSTROM, Frank Leander",0.232
79,House,9301,7.0,NJ,R,"THOMAS, John Parnell",0.293
79,House,9427,9.0,NJ,R,"TOWE, Harry Lancaster",0.241
79,House,10314,1.0,NJ,R,"WOLVERTON, Charles Anderson",0.035
79,House,165,98.0,NM,D,"ANDERSON, Clinton Presba",-0.201
79,House,3114,98.0,NM,D,"FERNÁNDEZ, Antonio M.",-0.153
79,House,200,42.0,NY,R,"ANDREWS, Walter Gresham",0.245
79,House,388,17.0,NY,R,"BALDWIN, Joseph Clark",-0.041
79,House,477,4.0,NY,D,"BARRY, William Bernard",-0.281
79,House,629,29.0,NY,R,"BENNET, Augustus Witschief",0.061
79,House,802,20.0,NY,D,"BLOOM, Sol",-0.468
79,House,1197,16.0,NY,R,"BUCK, Ellsworth Brewer",0.363
79,House,1205,25.0,NY,D,"BUCKLEY, Charles Anthony",-0.492
79,House,1340,44.0,NY,R,"BUTLER, John Cornelius",0.348
79,House,1369,32.0,NY,D,"BYRNE, William Thomas",-0.443
79,House,1611,15.0,NY,D,"CELLER, Emanuel",-0.457
79,House,1931,39.0,NY,R,"COLE, William Sterling",0.298
79,House,2476,6.0,NY,D,"DELANEY, James Joseph",-0.303
79,House,2477,7.0,NY,D,"DELANEY, John Joseph",-0.516
79,House,2585,19.0,NY,D,"DICKSTEIN, Samuel",-0.546
79,House,2947,43.0,NY,R,"ELSAESSER, Edward Julius",0.139
79,House,3396,35.0,NY,R,"FULLER, Hadwen Carlton",0.31
79,House,3446,28.0,NY,R,"GAMBLE, Ralph Abernethy",0.242
79,House,3888,27.0,NY,R,"GWINN, Ralph Waldo",0.466
79,House,3937,37.0,NY,R,"HALL, Edwin Arthur",0.209
79,House,3946,2.0,NY,R,"HALL, Leonard Wood",0.222
79,House,4024,36.0,NY,R,"HANCOCK, Clarence Eugene",0.364
79,House,4279,11.0,NY,D,"HEFFERNAN, James Joseph",-0.454
79,House,5110,31.0,NY,R,"KEARNEY, Bernard William (Pat)",0.207
79,House,5199,9.0,NY,D,"KEOGH, Eugene James",-0.437
79,House,5235,34.0,NY,R,"KILBURN, Clarence Evans",0.335
79,House,5317,19.0,NY,D,"KLEIN, Arthur George",-0.692
79,House,5488,3.0,NY,R,"LATHAM, Henry Jepson",0.246
79,House,5580,30.0,NY,R,"LE FEVRE, Jay",0.28
79,House,5859,23.0,NY,D,"LYNCH, Walter Aloysius",-0.434
79,House,5974,18.0,NY,,"MARCANTONIO, Vito Anthony",-0.415
79,House,7114,13.0,NY,D,"O'TOOLE, Donald Lawrence",-0.44
79,House,7390,8.0,NY,D,"PFEIFER, Joseph Lawrence",-0.45
79,House,7568,22.0,NY,D,"POWELL, Adam Clayton, Jr.",-0.833
79,House,7678,26.0,NY,D,"QUINN, Peter Anthony",-0.36
79,House,7683,24.0,NY,D,"RABIN, Benjamin J.",-0.583
79,House,7754,14.0,NY,D,"RAYFIEL, Leo Frederick",-0.534
79,House,7781,45.0,NY,R,"REED, Daniel Alden",0.547
79,House,8018,5.0,NY,D,"ROE, James A.",-0.299
79,House,8026,40.0,NY,D,"ROGERS, George Frederick",-0.359
79,House,8049,12.0,NY,D,"ROONEY, John James",-0.384
79,House,8406,1.0,NY,R,"SHARP, Edgar Allan",0.283
79,House,8739,10.0,NY,D,"SOMERS, Andrew Lawrence",-0.455
79,House,9144,38.0,NY,R,"TABER, John",0.558
79,House,9203,33.0,NY,R,"TAYLOR, Dean Park",0.206
79,House,9424,21.0,NY,D,"TORRENS, James H.",-0.485
79,House,9705,41.0,NY,R,"WADSWORTH, James Wolcott, Jr.",0.434
79,House,431,3.0,NC,D,"BARDEN, Graham Arthur",-0.031
79,House,846,1.0,NC,D,"BONNER, Herbert Covington",-0.149
79,House,1235,11.0,NC,D,"BULWINKLE, Alfred Lee",-0.199
79,House,1258,8.0,NC,D,"BURGIN, William Olin",-0.258
79,House,1771,7.0,NC,D,"CLARK, Jerome Bayard",-0.175
79,House,2032,4.0,NC,D,"COOLEY, Harold Dunbar",-0.189
79,House,2684,9.0,NC,D,"DOUGHTON, Robert Lee",-0.153
79,House,2791,6.0,NC,D,"DURHAM, Carl Thomas",-0.117
79,House,2986,10.0,NC,D,"ERVIN, Joseph Wilson",-0.043
79,House,2987,10.0,NC,D,"ERVIN, Samuel James, Jr.",-0.041
79,House,3251,5.0,NC,D,"FOLGER, John Hamlin",-0.419
79,House,5208,2.0,NC,D,"KERR, John Hosea",-0.184
79,House,7588,8.0,NC,D,"PRATT, Eliza Jane",-0.177
79,House,9897,12.0,NC,D,"WEAVER, Zebulon",-0.271
79,House,5602,98.0,ND,R,"LEMKE, William",0.032
79,House,7959,98.0,ND,R,"ROBERTSON, Charles Raymond",0.22
79,House,621,99.0,OH,R,"BENDER, George Harrison",0.179
79,House,837,22.0,OH,R,"BOLTON, Frances Payne",0.228
79,House,1000,11.0,OH,R,"BREHM, Walter Ellsworth",0.344
79,House,1104,7.0,OH,R,"BROWN, Clarence J.",0.382
79,House,1839,5.0,OH,R,"CLEVENGER, Cliff",0.629
79,House,2199,21.0,OH,D,"CROSSER, Robert",-0.311
79,House,2948,1.0,OH,R,"ELSTON, Charles Henry",0.385
79,House,3092,20.0,OH,D,"FEIGHAN, Michael Aloysius",-0.3
79,House,3464,3.0,OH,D,"GARDNER, Edward Joseph",-0.244
79,House,3831,15.0,OH,R,"GRIFFITHS, Percy Wilfred",0.449
79,House,4373,2.0,OH,R,"HESS, William Emil",0.333
79,House,4681,14.0,OH,D,"HUBER, Walter B.",-0.475
79,House,4917,10.0,OH,R,"JENKINS, Thomas Albert",0.376
79,House,5059,4.0,OH,R,"JONES, Robert Franklin",0.692
79,House,5301,19.0,OH,D,"KIRWAN, Michael Joseph",-0.38
79,House,5636,18.0,OH,R,"LEWIS, Earl Ramage",0.242
79,House,6186,6.0,OH,R,"McCOWEN, Edward Oscar",0.465
79,House,6262,17.0,OH,R,"McGREGOR, J. Harry",0.426
79,House,7699,9.0,OH,R,"RAMEY, Homer Alonzo",0.181
79,House,8619,8.0,OH,R,"SMITH, Frederick Cleveland",0.92
79,House,9283,16.0,OH,D,"THOM, William Richard",-0.273
79,House,9688,12.0,OH,R,"VORYS, John Martin",0.293
79,House,9917,13.0,OH,R,"WEICHEL, Alvin F.",0.32
79,House,863,4.0,OK,D,"BOREN, Lyle H.",-0.011
79,House,4970,6.0,OK,D,"JOHNSON, Jed Joseph",-0.177
79,House,6597,5.0,OK,D,"MONRONEY, Almer Stillwell Mike",-0.264
79,House,7932,8.0,OK,R,"RIZLEY, Ross",0.433
79,House,8283,1.0,OK,R,"SCHWABE, George Blaine",0.578
79,House,8944,3.0,OK,D,"STEWART, Paul",0.006
79,House,8949,2.0,OK,D,"STIGLER, William Grady",-0.218
79,House,10085,7.0,OK,D,"WICKERSHAM, Victor Eugene",-0.225
79,House,207,3.0,OR,R,"ANGELL, Homer Daniel",0.06
79,House,2935,4.0,OR,R,"ELLSWORTH, Mathew Harris",0.265
79,House,6761,1.0,OR,R,"MOTT, James Wheaton",0.158
79,House,6955,1.0,OR,R,"NORBLAD, Albin Walter, Jr.",0.176
79,House,8960,2.0,OR,R,"STOCKMAN, Lowell",0.25
79,House,465,1.0,PA,D,"BARRETT, William Aloysius",-0.469
79,House,954,3.0,PA,D,"BRADLEY, Michael Joseph",-0.472
79,House,1161,22.0,PA,R,"BRUMBAUGH, David Emmert",0.382
79,House,1184,33.0,PA,D,"BUCHANAN, Frank",-0.447
79,House,1450,29.0,PA,R,"CAMPBELL, Howard Edmond",0.325
79,House,2065,30.0,PA,R,"CORBETT, Robert James",0.071
79,House,2833,32.0,PA,D,"EBERHARTER, Herman Peter",-0.426
79,House,3105,12.0,PA,R,"FENTON, Ivor David",0.192
79,House,3224,11.0,PA,D,"FLOOD, Daniel John",-0.377
79,House,3409,31.0,PA,R,"FULTON, James Grove",0.012
79,House,3510,19.0,PA,R,"GAVIN, Leon Harry",0.215
79,House,3538,8.0,PA,R,"GERLACH, Charles Lewis",0.177
79,House,3604,14.0,PA,R,"GILLETTE, Wilson Darwin",0.388
79,House,3737,25.0,PA,R,"GRAHAM, Louis Edward",0.329
79,House,3744,2.0,PA,D,"GRANAHAN, William Thomas",-0.467
79,House,3785,5.0,PA,D,"GREEN, William Joseph, Jr.",-0.489
79,House,3851,21.0,PA,R,"GROSS, Chester  Heilman",0.463
79,House,4475,13.0,PA,D,"HOCH, Daniel Knabb",-0.407
79,House,4486,23.0,PA,R,"HOFFMAN, Carl Henry",0.375
79,House,5136,27.0,PA,D,"KELLEY, Augustine Bernard",-0.458
79,House,5288,9.0,PA,R,"KINZER, John Roland",0.414
79,House,5377,18.0,PA,R,"KUNKEL, John Crain",0.15
79,House,6169,16.0,PA,R,"McCONNELL, Samuel Kerns, Jr.",0.271
79,House,6255,6.0,PA,D,"McGLINCHEY, Herbert Joseph",-0.486
79,House,6685,24.0,PA,D,"MORGAN, Thomas Ellsworth",-0.396
79,House,6813,10.0,PA,D,"MURPHY, John William",-0.412
79,House,7864,15.0,PA,R,"RICH, Robert Fleming",0.664
79,House,8009,28.0,PA,R,"RODGERS, Robert Lewis",0.371
79,House,8451,4.0,PA,D,"SHERIDAN, John Edward",-0.437
79,House,8532,17.0,PA,R,"SIMPSON, Richard Murray",0.387
79,House,8735,23.0,PA,D,"SNYDER, John Buell",-0.371
79,House,9377,26.0,PA,R,"TIBBOTT, Harve",0.288
79,House,9791,20.0,PA,D,"WALTER, Francis Eugene",-0.217
79,House,9921,33.0,PA,D,"WEISS, Samuel Arthur",-0.488
79,House,10311,7.0,PA,R,"WOLFENDEN, James",0.37
79,House,3246,2.0,RI,D,"FOGARTY, John Edward",-0.344
79,House,3264,1.0,RI,D,"FORAND, Aime Joseph",-0.383
79,House,1181,4.0,SC,D,"BRYSON, Joseph Raleigh",-0.116
79,House,4067,3.0,SC,D,"HARE, Butler Black",-0.158
79,House,6353,6.0,SC,D,"McMILLAN, John Lanneau",-0.05
79,House,7869,5.0,SC,D,"RICHARDS, James Prioleau",-0.171
79,House,7908,2.0,SC,D,"RILEY, John Jacob",-0.114
79,House,7925,1.0,SC,D,"RIVERS, Lucius Mendel",-0.089
79,House,1570,2.0,SD,R,"CASE, Francis Higbee",0.239
79,House,6796,1.0,SD,R,"MUNDT, Karl Earl",0.275
79,House,2049,9.0,TN,D,"COOPER, Jere",-0.235
79,House,2093,7.0,TN,D,"COURTNEY, William Wirt",-0.21
79,House,2376,10.0,TN,D,"DAVIS, Clifford",-0.211
79,House,2821,5.0,TN,D,"EARTHMAN, Harold Henderson",-0.063
79,House,3704,4.0,TN,D,"GORE, Albert Arnold",-0.328
79,House,4925,2.0,TN,R,"JENNINGS, John, Jr.",0.28
79,House,5122,3.0,TN,D,"KEFAUVER, Carey Estes",-0.429
79,House,6826,8.0,TN,D,"MURRAY, Thomas Jefferson",-0.037
79,House,7622,6.0,TN,D,"PRIEST, James Percy",-0.302
79,House,7777,1.0,TN,R,"REECE, Brazilla Carroll",0.252
79,House,567,3.0,TX,D,"BECKWORTH, Lindley Garrison, Sr.",-0.238
79,House,1960,2.0,TX,D,"COMBS, Jesse Martin",-0.341
79,House,3171,21.0,TX,D,"FISHER, Ovie Clark",0.038
79,House,3719,13.0,TX,D,"GOSSETT, Ed Lee",-0.002
79,House,4978,6.0,TX,D,"JOHNSON, Luther Alexander",-0.187
79,House,4979,10.0,TX,D,"JOHNSON, Lyndon Baines",-0.242
79,House,5236,20.0,TX,D,"KILDAY, Paul Joseph",-0.107
