congress,chamber,icpsr,district_code,state_abbrev,party,bioname,extremism
50,House,4451,1.0,NJ,R,"HIRES, George",0.426
50,House,5108,3.0,NJ,R,"KEAN, John",0.385
50,House,5590,6.0,NJ,R,"LEHLBACH, Herman",0.683
50,House,6118,7.0,NJ,D,"McADOO, William",0.201
50,House,7407,5.0,NJ,R,"PHELPS, William Walter",0.493
50,House,7433,4.0,NJ,D,"PIDCOCK, James Nelson",0.262
50,House,324,15.0,NY,D,"BACON, Henry",0.425
50,House,359,30.0,NY,R,"BAKER, Charles Simeon",0.442
50,House,592,25.0,NY,R,"BELDEN, James Jerome",0.766
50,House,618,1.0,NY,D,"BELMONT, Perry",0.335
50,House,795,5.0,NY,D,"BLISS, Archibald Meserole",0.097
50,House,1180,7.0,NY,D,"BRYCE, Lloyd Stephens",0.21
50,House,1447,2.0,NY,D,"CAMPBELL, Felix",0.18
50,House,1467,8.0,NY,D,"CAMPBELL, Timothy John",0.187
50,House,1891,12.0,NY,D,"COCKRAN, William Bourke",0.182
50,House,2118,9.0,NY,D,"COX, Samuel Sullivan",0.249
50,House,2248,6.0,NY,D,"CUMMINGS, Amos Jay",0.319
50,House,2354,29.0,NY,R,"DAVENPORT, Ira",0.258
50,House,2480,26.0,NY,R,"DE LANO, Milton",0.791
50,House,3066,32.0,NY,R,"FARQUHAR, John McCreath",0.383
50,House,3176,13.0,NY,R,"FITCH, Ashbel Parmelee",0.137
50,House,3227,28.0,NY,R,"FLOOD, Thomas Schmeck",0.316
50,House,3797,18.0,NY,D,"GREENMAN, Edward Whitford",0.095
50,House,4575,17.0,NY,R,"HOPKINS, Stephen Tyng",0.551
50,House,5094,19.0,NY,D,"KANE, Nicholas Thomas",
50,House,5219,16.0,NY,R,"KETCHAM, John Henry",0.382
50,House,5408,34.0,NY,R,"LAIDLAW, William Grant",0.375
50,House,5927,4.0,NY,D,"MAHONEY, Peter Paul",0.16
50,House,6431,11.0,NY,D,"MERRIMAN, Truman Adams",0.138
50,House,6583,21.0,NY,R,"MOFFITT, John Henry",0.399
50,House,6989,27.0,NY,R,"NUTTING, Newton Wright",0.415
50,House,7187,22.0,NY,R,"PARKER, Abraham X.",0.299
50,House,8236,31.0,NY,R,"SAWYER, John Gilbert",0.562
50,House,8453,23.0,NY,R,"SHERMAN, James Schoolcraft",0.33
50,House,8798,10.0,NY,D,"SPINOLA, Francis Barretto",0.259
50,House,8826,14.0,NY,D,"STAHLNECKER, William Griggs",0.165
50,House,9445,19.0,NY,D,"TRACEY, Charles",0.232
50,House,9902,33.0,NY,R,"WEBER, John Baptiste",0.391
50,House,9960,20.0,NY,R,"WEST, George",0.618
50,House,10046,3.0,NY,R,"WHITE, Stephen Van Culen",0.291
50,House,10097,24.0,NY,R,"WILBER, David",0.583
50,House,1093,5.0,NC,R,"BROWER, John Morehead",0.424
50,House,2110,8.0,NC,D,"COWLES, William Henry Harrison",0.463
50,House,4312,7.0,NC,D,"HENDERSON, John Steele",0.418
50,House,5013,9.0,NC,D,"JOHNSTON, Thomas Dillard",0.406
50,House,5489,1.0,NC,D,"LATHAM, Louis Charles",0.359
50,House,6143,3.0,NC,D,"McCLAMMY, Charles Washington",0.373
50,House,6918,4.0,NC,,"NICHOLS, John",0.333
50,House,8095,6.0,NC,D,"ROWLAND, Alfred",0.396
50,House,8514,2.0,NC,D,"SIMMONS, Furnifold McLendel",0.295
50,House,856,6.0,OH,R,"BOOTHMAN, Melvin Morella",0.37
50,House,1102,2.0,OH,R,"BROWN, Charles Elwood",0.42
50,House,1360,1.0,OH,R,"BUTTERWORTH, Benjamin",0.269
50,House,1452,7.0,OH,D,"CAMPBELL, James Edwin",0.205
50,House,2059,9.0,OH,R,"COOPER, William Craig",0.402
50,House,2203,20.0,OH,R,"CROUSE, George Washington",0.373
50,House,3263,21.0,OH,D,"FORAN, Martin Ambrose",0.244
50,House,3855,15.0,OH,R,"GROSVENOR, Charles Henry",0.679
50,House,5185,8.0,OH,R,"KENNEDY, Robert Patterson",0.55
50,House,6312,18.0,OH,R,"McKINLEY, William, Jr.",0.409
50,House,7116,13.0,OH,D,"OUTHWAITE, Joseph Hodson",0.217
50,House,7649,12.0,OH,R,"PUGSLEY, Jacob Joseph",0.571
50,House,8045,10.0,OH,R,"ROMEIS, Jacob",0.394
50,House,8362,5.0,OH,D,"SENEY, George Ebbert",0.162
50,House,9206,19.0,OH,R,"TAYLOR, Ezra Booth",0.462
50,House,9224,17.0,OH,R,"TAYLOR, Joseph Danner",0.391
50,House,9314,11.0,OH,R,"THOMPSON, Albert Clifton",0.445
50,House,10087,14.0,OH,R,"WICKHAM, Charles Preston",0.604
50,House,10119,16.0,OH,D,"WILKINS, Beriah",0.179
50,House,10141,3.0,OH,R,"WILLIAMS, Elihu Stephen",0.421
50,House,10427,4.0,OH,D,"YODER, Samuel S.",0.143
50,House,4355,1.0,OR,R,"HERMANN, Binger",0.304
50,House,285,18.0,PA,R,"ATKINSON, Louis Evans",0.428
50,House,536,23.0,PA,R,"BAYNE, Thomas McKee",0.416
50,House,715,1.0,PA,R,"BINGHAM, Henry Harrison",0.54
50,House,883,14.0,PA,R,"BOUND, Franklin",0.359
50,House,1162,13.0,PA,R,"BRUMM, Charles Napoleon",0.545
50,House,1200,11.0,PA,D,"BUCKALEW, Charles Rollin",0.465
50,House,1241,15.0,PA,R,"BUNNELL, Frank Charles",0.497
50,House,2310,22.0,PA,R,"DALZELL, John",0.384
50,House,2342,6.0,PA,R,"DARLINGTON, Smedley",0.372
50,House,2982,8.0,PA,D,"ERMENTROUT, Daniel",0.206
50,House,3949,26.0,PA,D,"HALL, Norman",0.33
50,House,4080,5.0,PA,R,"HARMER, Alfred Crout",0.288
50,House,4389,9.0,PA,R,"HIESTAND, John Andrew",0.507
50,House,4861,24.0,PA,R,"JACKSON, Oscar Lawrence",0.635
50,House,5140,4.0,PA,R,"KELLEY, William Darrah",0.622
50,House,5854,12.0,PA,D,"LYNCH, John",0.391
50,House,5904,25.0,PA,R,"MAFFETT, James Thompson",
50,House,5931,19.0,PA,D,"MAISH, Levi",0.333
50,House,6178,16.0,PA,R,"McCORMICK, Henry Clay",0.41
50,House,6205,21.0,PA,R,"McCULLOGH, Welty",0.608
50,House,7076,2.0,PA,R,"O'NEILL, Charles",0.489
50,House,7091,99.0,PA,R,"OSBORNE, Edwin Sylvanus",0.399
50,House,7262,20.0,PA,R,"PATTON, John",0.35
50,House,7715,3.0,PA,D,"RANDALL, Samuel Jackson",0.216
50,House,8314,27.0,PA,D,"SCOTT, William Lawrence",0.306
50,House,8329,17.0,PA,R,"SCULL, Edward",0.581
50,House,8755,10.0,PA,D,"SOWDEN, William Henry",0.063
50,House,10415,7.0,PA,R,"YARDLEY, Robert Morris",0.448
50,House,250,2.0,RI,R,"ARNOLD, Warren Otis",0.661
50,House,8799,1.0,RI,R,"SPOONER, Henry Joshua",0.619
50,House,2084,3.0,SC,D,"COTHRAN, James Sproull",0.443
50,House,2337,6.0,SC,D,"DARGAN, George William",0.474
50,House,2553,1.0,SC,D,"DIBBLE, Samuel",0.266
50,House,2918,7.0,SC,D,"ELLIOTT, William",0.378
50,House,4297,5.0,SC,D,"HEMPHILL, John James",0.452
50,House,7359,4.0,SC,D,"PERRY, William Hayne",0.391
50,House,9387,2.0,SC,D,"TILLMAN, George Dionysius",0.424
50,House,1348,1.0,TN,R,"BUTLER, Roderick Randum",0.659
50,House,2973,8.0,TN,D,"ENLOE, Benjamin Augustine",0.549
50,House,3626,9.0,TN,D,"GLASS, Presley Thornton",0.447
50,House,4606,2.0,TN,R,"HOUK, Leonidas Campbell",0.416
50,House,6359,4.0,TN,D,"McMILLIN, Benton",0.586
50,House,6849,3.0,TN,D,"NEAL, John Randolph",0.493
50,House,7394,10.0,TN,D,"PHELAN, James",0.381
50,House,7877,5.0,TN,D,"RICHARDSON, James Daniel",0.582
50,House,9857,6.0,TN,D,"WASHINGTON, Joseph Edwin",0.478
50,House,10076,7.0,TN,D,"WHITTHORNE, Washington Curran",0.494
50,House,4,6.0,TX,D,"ABBOTT, Jo (Joseph)",0.638
50,House,2141,7.0,TX,D,"CRAIN, William Henry",0.465
50,House,2230,4.0,TX,D,"CULBERSON, David Browning",0.435
50,House,4070,5.0,TX,D,"HARE, Silas",0.58
50,House,5237,3.0,TX,D,"KILGORE, Constantine Buckley",0.624
50,House,5460,11.0,TX,D,"LANHAM, Samuel Willis Tucker",0.554
50,House,6043,2.0,TX,D,"MARTIN, William Harrison",0.593
50,House,6531,9.0,TX,D,"MILLS, Roger Quarles",0.584
50,House,6642,8.0,TX,D,"MOORE, Littleton Wilde",0.573
50,House,7769,2.0,TX,D,"REAGAN, John Henninger",
50,House,8244,10.0,TX,D,"SAYERS, Joseph Draper",0.562
50,House,8931,1.0,TX,D,"STEWART, Charles",0.447
50,House,3858,2.0,VT,R,"GROUT, William Wallace",0.441
50,House,8943,1.0,VT,R,"STEWART, John Wolcott",0.443
50,House,892,2.0,VA,R,"BOWDEN, George Edwin",0.399
50,House,897,9.0,VA,R,"BOWEN, Henry",0.323
50,House,1121,5.0,VA,R,"BROWN, John Robert",0.295
50,House,1145,1.0,VA,R,"BROWNE, Thomas Henry Bayly",0.189
50,House,3427,4.0,VA,R,"GAINES, William Embre",0.465
50,House,4572,6.0,VA,,"HOPKINS, Samuel Isaac",0.163
50,House,5572,8.0,VA,D,"LEE, William Henry Fitzhugh",0.305
50,House,7028,7.0,VA,D,"O'FERRALL, Charles Triplett",0.217
50,House,10285,3.0,VA,D,"WISE, George Douglas",0.326
50,House,10432,10.0,VA,R,"YOST, Jacob",0.313
50,House,3646,1.0,WV,R,"GOFF, Nathan",0.297
50,House,4504,4.0,WV,D,"HOGG, Charles Edgar",0.357
50,House,8732,3.0,WV,D,"SNYDER, Charles Philip",0.312
50,House,10262,2.0,WV,D,"WILSON, William Lyne",0.392
50,House,1593,1.0,WI,R,"CASWELL, Lucien Bonaparte",0.336
50,House,1754,6.0,WI,R,"CLARK, Charles Benjamin",0.402
50,House,3869,2.0,WI,R,"GUENTHER, Richard William",0.293
50,House,4196,8.0,WI,R,"HAUGEN, Nils Pederson",0.355
50,House,4684,5.0,WI,D,"HUDD, Thomas Richard",0.316
50,House,5401,3.0,WI,R,"LA FOLLETTE, Robert Marion",0.279
50,House,8629,4.0,WI,,"SMITH, Henry",0.159
50,House,8893,9.0,WI,R,"STEPHENSON, Isaac",0.407
50,House,9305,7.0,WI,R,"THOMAS, Ormsby Brunson",0.315
50,Senate,6682,0.0,AL,D,"MORGAN, John Tyler",0.427
50,Senate,7644,0.0,AL,D,"PUGH, James Lawrence",0.426
50,Senate,674,0.0,AR,D,"BERRY, James Henderson",0.732
50,Senate,5042,0.0,AR,D,"JONES, James Kimbrough",0.542
50,Senate,4266,0.0,CA,D,"HEARST, George",0.319
50,Senate,8836,0.0,CA,R,"STANFORD, Leland",0.159
50,Senate,900,0.0,CO,R,"BOWEN, Thomas Mead",0.333
50,Senate,9246,0.0,CO,R,"TELLER, Henry Moore",0.285
50,Senate,4220,0.0,CT,R,"HAWLEY, Joseph Roswell",0.281
50,Senate,7482,0.0,CT,R,"PLATT, Orville Hitchcock",0.595
50,Senate,3765,0.0,DE,D,"GRAY, George",0.496
50,Senate,8222,0.0,DE,D,"SAULSBURY, Eli",0.618
50,Senate,1425,0.0,FL,D,"CALL, Wilkinson",0.424
50,Senate,7227,0.0,FL,D,"PASCO, Samuel",0.577
50,Senate,1126,0.0,GA,D,"BROWN, Joseph Emerson",0.241
50,Senate,1953,0.0,GA,D,"COLQUITT, Alfred Holt",0.501
50,Senate,2239,0.0,IL,R,"CULLOM, Shelby Moore",0.309
50,Senate,3075,0.0,IL,R,"FARWELL, Charles Benjamin",0.319
50,Senate,9526,0.0,IN,D,"TURPIE, David",0.38
50,Senate,9685,0.0,IN,D,"VOORHEES, Daniel Wolsey",0.403
50,Senate,141,0.0,IA,R,"ALLISON, William Boyd",0.328
50,Senate,10234,0.0,IA,R,"WILSON, James Falconer",0.384
50,Senate,4801,0.0,KS,R,"INGALLS, John James",0.253
50,Senate,7489,0.0,KS,R,"PLUMB, Preston B.",0.201
50,Senate,560,0.0,KY,D,"BECK, James Burnie",0.461
50,Senate,751,0.0,KY,D,"BLACKBURN, Joseph Clay Stiles",0.532
50,Senate,3000,0.0,LA,D,"EUSTIS, James Biddle",0.411
50,Senate,3565,0.0,LA,D,"GIBSON, Randall Lee",0.43
50,Senate,3385,0.0,ME,R,"FRYE, William Pierce",0.375
50,Senate,3917,0.0,ME,R,"HALE, Eugene",0.266
50,Senate,3709,0.0,MD,D,"GORMAN, Arthur Pue",0.335
50,Senate,10217,0.0,MD,D,"WILSON, Ephraim King",0.523
50,Senate,2423,0.0,MA,R,"DAWES, Henry Laurens",0.372
50,Senate,4462,0.0,MA,R,"HOAR, George Frisbie",0.261
50,Senate,7181,0.0,MI,R,"PALMER, Thomas Witherell",0.313
50,Senate,8957,0.0,MI,R,"STOCKBRIDGE, Francis Brown",0.348
50,Senate,2377,0.0,MN,R,"DAVIS, Cushman Kellogg",0.256
50,Senate,8165,0.0,MN,R,"SABIN, Dwight May",0.228
50,Senate,3532,0.0,MS,D,"GEORGE, James Zachariah",0.451
50,Senate,9793,0.0,MS,D,"WALTHALL, Edward Cary",0.45
50,Senate,1892,0.0,MO,D,"COCKRELL, Francis Marion",0.59
50,Senate,9665,0.0,MO,D,"VEST, George Graham",0.563
50,Senate,5951,0.0,NE,R,"MANDERSON, Charles Frederick",0.207
50,Senate,7148,0.0,NE,R,"PADDOCK, Algernon Sidney",0.238
50,Senate,5046,0.0,NV,R,"JONES, John Percival",0.204
50,Senate,8948,0.0,NV,R,"STEWART, William Morris",0.207
50,Senate,765,0.0,NH,R,"BLAIR, Henry William",0.466
50,Senate,1641,0.0,NH,R,"CHANDLER, William Eaton",0.381
50,Senate,1683,0.0,NH,R,"CHENEY, Person Colby",
50,Senate,799,0.0,NJ,D,"BLODGETT, Rufus",0.346
50,Senate,6375,0.0,NJ,D,"McPHERSON, John Rhoderic",0.313
50,Senate,3024,0.0,NY,R,"EVARTS, William Maxwell",0.32
50,Senate,4452,0.0,NY,R,"HISCOCK, Frank",0.366
50,Senate,7737,0.0,NC,D,"RANSOM, Matt Whitaker",0.489
50,Senate,9601,0.0,NC,D,"VANCE, Zebulon Baird",0.79
50,Senate,7272,0.0,OH,D,"PAYNE, Henry B.",0.227
50,Senate,8454,0.0,OH,R,"SHERMAN, John",0.492
50,Senate,2649,0.0,OR,R,"DOLPH, Joseph Norton",0.37
50,Senate,6565,0.0,OR,R,"MITCHELL, John Hipple",0.274
50,Senate,1435,0.0,PA,R,"CAMERON, James Donald",0.121
50,Senate,7668,0.0,PA,R,"QUAY, Matthew Stanley",0.088
50,Senate,71,0.0,RI,R,"ALDRICH, Nelson Wilmarth",0.295
50,Senate,1613,0.0,RI,R,"CHACE, Jonathan",0.287
50,Senate,1344,0.0,SC,D,"BUTLER, Matthew Calbraith",0.434
50,Senate,4020,0.0,SC,D,"HAMPTON, Wade",0.487
50,Senate,508,0.0,TN,D,"BATE, William Brimage",0.55
50,Senate,4104,0.0,TN,D,"HARRIS, Isham Green",0.615
50,Senate,1915,0.0,TX,D,"COKE, Richard",0.759
50,Senate,7769,0.0,TX,D,"REAGAN, John Henninger",0.991
50,Senate,2855,0.0,VT,R,"EDMUNDS, George Franklin",0.338
50,Senate,6696,0.0,VT,R,"MORRILL, Justin Smith",0.324
50,Senate,2325,0.0,VA,D,"DANIEL, John Warwick",0.434
50,Senate,7894,0.0,VA,R,"RIDDLEBERGER, Harrison Holt",0.046
50,Senate,3081,0.0,WV,D,"FAULKNER, Charles James",0.375
50,Senate,5173,0.0,WV,D,"KENNA, John Edward",0.369
50,Senate,8239,0.0,WI,R,"SAWYER, Philetus",0.387
50,Senate,8800,0.0,WI,R,"SPOONER, John Coit",0.196
51,House,403,6.0,AL,D,"BANKHEAD, John Hollis",0.473
